stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:41:4736:0:1","Schützen am Gebirge Ortsmitte","47.8500279777619","16.626216910161",""
"at:41:4736:0:2","Schützen am Gebirge Ortsmitte","47.8501606014199","16.6250940160557",""
"at:41:4738:0:1","Schützen am Gebirge Neusiedler Str.","47.8552663543689","16.6327566454303",""
"at:41:4738:0:2","Schützen am Gebirge Neusiedler Str.","47.8555315745528","16.6332327525309",""
"at:41:4821:0:1","St. Andrä am Zicksee Bahnhof","47.7825931996072","16.92805982882",""
"at:41:4823:0:1","St. Andrä/Zicksee Ortsmitte","47.783975468785","16.9407620069392",""
"at:41:5143:0:1","Wallern im Bgld Bahnhof","47.7337979020785","16.9305212126988",""
"at:41:5143:0:2","Wallern im Bgld Bahnhof","47.7331997551072","16.9310422355637",""
"at:41:5157:0:1","Weiden am See Bahnhof","47.9257671141044","16.8638482523022",""
"at:41:5160:0:1","Weiden am See Raiffeisenplatz","47.9259777978084","16.868366778182",""
"at:41:5160:0:2","Weiden am See Raiffeisenplatz","47.9274706177566","16.8670462547141",""
"at:41:5233:0:1","Wiesen-Sigleß Bahnhof","47.7531463642883","16.3700712900115",""
"at:41:5248:0:1","Winden am See Bahnhof","47.9469997150699","16.7589609597138",""
"at:41:5249:0:1","Winden/See Eisenstädter Straße","47.9516567214771","16.7512893471864",""
"at:41:5249:0:2","Winden/See Eisenstädter Straße","47.9519214482535","16.7521427467064",""
"at:41:5286:0:2","Wulkaprodersdorf Bahnhof","47.7892205139478","16.4909845272708",""
"at:41:5286:0:4","Wulkaprodersdorf Bahnhof","47.789413647049","16.4905892685458",""
"at:41:5288:0:1","Wulkaprodersdorf Haltestelle","47.7991840381813","16.4965450988803",""
"at:41:5290:0:1","Wulkaprodersdorf Rathausgasse","47.795412486612","16.4990334322177",""
"at:41:5290:0:2","Wulkaprodersdorf Rathausgasse","47.7953702436841","16.4990783479819",""
"at:41:5312:0:1","Zurndorf Bahnhof","47.9681574364806","17.0239280359546",""
"at:41:5312:0:3","Zurndorf Bahnhof","47.9680612026038","17.0239999011773",""
"at:41:5441:0:1","Neufeld/Leitha Strandbad","47.8650725710843","16.3869236847439",""
"at:41:5441:0:2","Neufeld/Leitha Strandbad","47.8652292626247","16.3865913080888",""
"at:41:5651:0:1","Neudorf/Parndorf Kriegerdenkmal","48.0148998726687","16.9301259539738",""
"at:41:5882:0:1","Jois Eisenstädter Straße","47.9642117004946","16.7925399850389",""
"at:41:5882:0:2","Jois Eisenstädter Straße","47.9640853838452","16.7927196480957",""
"at:41:5969:0:1","Neudorf","48.008908385848","16.9384174040474",""
"at:41:5970:0:1","Gattendorf Bahnhof","48.0106452074367","16.9808448349222",""
"at:41:5970:0:2","Gattendorf Bahnhof","48.0105430430801","16.9808717843808",""
"at:41:5971:0:1","Pama Bahnhof","48.0420721684907","17.0413463693161",""
"at:41:5971:0:2","Pama Bahnhof","48.0427628537309","17.0413733187746",""
"at:41:5971:0:3","Pama Bahnhof","48.0422823780224","17.0413194198576",""
"at:41:5972:0:1","Kittsee Bahnhof","48.0815164687755","17.0714938302553",""
"at:41:5972:0:2","Kittsee Bahnhof","48.0816124910633","17.0705685655126",""
"at:41:5980:0:1","Mattersburg Nord Bhf.","47.7414463273451","16.4025094549256",""
"at:41:7075:0:2","Jennersdorf Bahnhof","46.9353443379211","16.139922914188",""
"at:41:7075:0:3","Jennersdorf Bahnhof","46.9350437757133","16.1389796831396",""
"at:41:7455:0:1","Mogersdorf Bahnhof","46.9455072546069","16.2293232512761",""
"at:41:99882","TP Staatsgrenze","46.9848956154732","16.2759368313755",""
"at:42:2121:0:1","Mallnitz-Obervellach Bahnhof","46.98108985089","13.1762819767839",""
"at:42:2121:0:2","Mallnitz-Obervellach Bahnhof","46.9812124240198","13.1763987577709",""
"at:42:2121:0:3","Mallnitz-Obervellach Bahnhof","46.9812369386121","13.1764796061465",""
"at:42:2125:0:1","Kolbnitz Bahnhof","46.8788581111353","13.3206142935035",""
"at:42:2126:0:1","Mühldorf-Möllbrücke Bahnhst","46.8515019211913","13.3668146485722",""
"at:42:2126:0:2","Mühldorf-Möllbrücke Bahnhst","46.8515510691892","13.3668775306421",""
"at:42:2127:0:1","Pusarnitz Bahnhof","46.8351331367142","13.4044810084406",""
"at:42:2127:0:2","Pusarnitz Bahnhof","46.8352191718911","13.4045618568162",""
"at:42:2128:0:1","Spittal-Millstätter See Bahnhof 1","46.7953947522212","13.4884824706703",""
"at:42:2128:0:2","Spittal-Millstätter See Bahnhof","46.7962557337978","13.487359576565",""
"at:42:2128:0:3","Spittal-Millstätter See Bahnhof","46.796243434158","13.4872787281894",""
"at:42:2128:0:4","Spittal-Millstätter See Bahnhof","46.7962126850462","13.4871799135081",""
"at:42:2128:0:5","Spittal-Millstätter See Bahnhof","46.796188085744","13.4870810988269",""
"at:42:2128:0:7","Spittal-Millstätter See Bahnhof","46.7955546498413","13.4879165320412",""
"at:42:2130:0:1","Rothenthurn Bahnhof","46.7595164800127","13.5824911651665",""
"at:42:2131:0:1","Ferndorf Bahnhst","46.7324320025529","13.629446105074",""
"at:42:2131:0:2","Ferndorf Bahnhst","46.7323765885392","13.6293832230041",""
"at:42:2132:0:1","Markt Paternion Bahnhst","46.7245688006156","13.6438460990804",""
"at:42:2132:0:2","Markt Paternion Bahnhst","46.7260590177539","13.6409714901708",""
"at:42:2133:0:1","Paternion-Feistritz Bahnhst","46.7070525855435","13.6743528861333",""
"at:42:2133:0:2","Paternion-Feistritz Bahnhst","46.7070341055214","13.6743259366748",""
"at:42:2134:0:1","Weissenstein-Kellerberg Bahnhst","46.6794117238044","13.720328662381",""
"at:42:2134:0:2","Weissenstein-Kellerberg Bahnhst","46.6793500921702","13.7202927297696",""
"at:42:2136:0:1","Puch b.Villach Bahnhst","46.6630275614128","13.7603845409055",""
"at:42:2136:0:2","Puch b.Villach Bahnhst","46.662990571229","13.7603755577526",""
"at:42:2137:0:1","Gödersdorf Bahnhst","46.5685338729107","13.847476207713",""
"at:42:2137:0:2","Gödersdorf Bahnhst","46.5684659391154","13.8474851908658",""
"at:42:2137:0:3","Gödersdorf Bahnhst","46.5687253222396","13.8474043424902",""
"at:42:2138:0:1","Finkenstein Bahnhst","46.5688179587691","13.8684518696001",""
"at:42:2139:0:1","Faak am See Bahnhof","46.5643094641601","13.911957278816",""
"at:42:2139:0:3","Faak am See Bahnhof 1","46.5645935721428","13.9124064364582",""
"at:42:2139:0:4","Faak am See Bahnhof 2","46.5646862157285","13.9128286446418",""
"at:42:2143:0:2","Rosenbach Bahnhof","46.5304343692453","14.0350713885218",""
"at:42:2143:0:3","Rosenbach Bahnhof","46.5304529096389","14.0349905401462",""
"at:42:2143:0:4","Rosenbach Bahnhof 1","46.5304096487107","14.0355924113866",""
"at:42:2149:0:1","Ledenitzen Bahnhst","46.5628580197273","13.9659280610934",""
"at:42:2149:0:2","Ledenitzen Bahnhst 1","46.5628950783661","13.9650207626564",""
"at:42:3625:0:1","Friesach Bahnhof","46.9533136648543","14.4106839583229",""
"at:42:3625:0:2","Friesach Bahnhof","46.9535895972487","14.4104144637377",""
"at:42:3625:0:3","Friesach Bahnhof","46.9536263881271","14.4104773458076",""
"at:42:3625:0:5","Friesach Bahnhof 1","46.9529212252206","14.4105402278775",""
"at:42:3625:0:6","Friesach Bahnhof 2","46.9530683904205","14.4106839583229",""
"at:42:3626:0:1","Micheldorf-Hirt Bahnhst","46.9140247743941","14.4316506370572",""
"at:42:3626:0:2","Micheldorf-Hirt Bahnhst","46.9140186380467","14.4315608055288",""
"at:42:3627:0:2","Treibach-Althofen","46.8681666574154","14.4655081401204",""
"at:42:3627:0:3","Treibach-Althofen","46.8681666574154","14.4655800053431",""
"at:42:3627:0:4","Treibach-Althofen Bahnhof 1","46.8686211335984","14.4644391449321",""
"at:42:3628:0:1","Kappel am Krappfeld Bahnhst","46.837425312588","14.4758207995835",""
"at:42:3628:0:2","Kappel am Krappfeld Bahnhst","46.8373945870164","14.4757489343608",""
"at:42:3629:0:1","Passering Bahnhst","46.8067094108657","14.4699278513189",""
"at:42:3629:0:2","Passering Bahnhst","46.8066971136155","14.4698200534848",""
"at:42:3631:0:2","Launsdorf-Hochosterwitz Bahnhof","46.768906691072","14.4556715877579",""
"at:42:3631:0:3","Launsdorf-Hochosterwitz Bahnhof","46.7689559146022","14.4556356551465",""
"at:42:3632:0:1","St. Georgen am Längsee Bahnhst","46.7618241868455","14.4231795239268",""
"at:42:3632:0:2","St. Georgen am Längsee Bahnhst","46.7618795705949","14.4231705407739",""
"at:42:3633:0:1","St. Veit an der Glan Bahnhof","46.7707894590548","14.3669719365916",""
"at:42:3633:0:2","St. Veit an der Glan Bahnhof","46.7707894590548","14.3670977007314",""
"at:42:3633:0:3","St. Veit an der Glan Bahnhof","46.7707648481331","14.3672504143297",""
"at:42:3633:0:4","St. Veit an der Glan Bahnhof","46.7703341551839","14.3671246501899",""
"at:42:3633:0:5","St. Veit an der Glan Bahnhof","46.7703095440542","14.3672773637882",""
"at:42:3633:0:6","St. Veit an der Glan Bahnhof 1","46.770186488237","14.3660466718488",""
"at:42:3636:0:1","Glandorf Bahnhst","46.7506108820189","14.3811563349298",""
"at:42:3636:0:2","Glandorf Bahnhst","46.7506108820189","14.3812461664582",""
"at:42:3639:0:2","Maria Saal Bahnhof","46.6831772832799","14.3399146802301",""
"at:42:3639:0:3","Maria Saal Bahnhof","46.6831156559411","14.3399955286057",""
"at:42:3640:0:2","Klagenfurt Annabichl Bahnhst","46.6500116197395","14.3151930436077",""
"at:42:3640:0:4","Klagenfurt Annabichl Bahnhst","46.6499992867128","14.3151121952322",""
"at:42:3641:0:1","Klagenfurt Ostbahnhof 2","46.6216752417367","14.3212027728593",""
"at:42:3641:0:2","Klagenfurt Ostbahnhof g2","46.621323565271","14.3220831218379",""
"at:42:3641:0:3","Klagenfurt Ostbahnhof 1","46.6215518467457","14.3212387054707",""
"at:42:3641:0:4","Klagenfurt Ostbahnhof g1","46.6213173954881","14.3219753240038",""
"at:42:3642:0:11","Klagenfurt Hbf","46.6163258107217","14.3120758895714",""
"at:42:3642:0:2","Klagenfurt Hbf","46.6158074986651","14.3136659076245",""
"at:42:3642:0:4","Klagenfurt Hbf","46.6155730225335","14.3137018402359",""
"at:42:3642:0:5","Klagenfurt Hbf","46.6154866363343","14.3137108233887",""
"at:42:3642:0:6","Klagenfurt Hbf","46.6157396240998","14.3136838739302",""
"at:42:3642:0:7","Klagenfurt Hbf","46.6156347268771","14.3137018402359",""
"at:42:3642:0:8","Klagenfurt Hbf","46.6165911352119","14.3120309738072",""
"at:42:3643:0:1","Klagenfurt West Bahnhst","46.6229215153809","14.2667289340227",""
"at:42:3643:0:2","Klagenfurt West Bahnhst","46.6229832113507","14.2667379171756",""
"at:42:3643:0:3","Klagenfurt West Bahnhst 1","46.6227549359113","14.2669175802324",""
"at:42:3645:0:1","Klagenfurt Lend Bahnhst","46.6213976026115","14.2843359135939",""
"at:42:3645:0:2","Klagenfurt Lend Bahnhst","46.6214901491447","14.2843808293581",""
"at:42:3646:0:2","Krumpendorf Bahnhof","46.6262221510254","14.2211304501945",""
"at:42:3646:0:3","Krumpendorf Bahnhof 1","46.6272585707935","14.222810299776",""
"at:42:3646:0:4","Krumpendorf Bahnhof","46.6262529971383","14.2209777365962",""
"at:42:3646:0:6","Krumpendorf Bahnhof","46.6261666279778","14.2211484165002",""
"at:42:3647:0:1","Pritschitz Bahnhst","46.6278076184633","14.1712020866962",""
"at:42:3647:0:2","Pritschitz Bahnhst","46.6279988584787","14.1708158111239",""
"at:42:3648:0:1","Pörtschach Bahnhof g1","46.6362338761419","14.1458067136106",""
"at:42:3648:0:2","Pörtschach Bahnhof g2","46.6362893888628","14.1458336630691",""
"at:42:3648:0:3","Pörtschach Bahnhof 1","46.6358946304994","14.1463457027811",""
"at:42:3649:0:1","Töschling Bahnhst","46.6332237677966","14.1115090360581",""
"at:42:3649:0:2","Töschling Bahnhst","46.6331620834979","14.1115090360581",""
"at:42:3650:0:1","Velden am Wörthersee Bahnhof","46.6199847058943","14.0448270925086",""
"at:42:3650:0:2","Velden am Wörthersee Bahnhof","46.6198798168949","14.0440904739756",""
"at:42:3650:0:4","Velden am Wörthersee Bahnhof 1","46.6197255679974","14.044467766395",""
"at:42:3651:0:1","Lind-Rosegg Bahnhst","46.6062240022682","14.000962357179",""
"at:42:3651:0:2","Lind-Rosegg Bahnhst","46.6062795457674","14.0009174414148",""
"at:42:3651:0:3","Lind-Rosegg Bahnhst","46.6055698189924","14.0007108288994",""
"at:42:3652:0:1","Föderlach Bahnhof","46.6020704214706","13.9590379828633",""
"at:42:3652:0:2","Föderlach Bahnhof","46.6021321411981","13.959055949169",""
"at:42:3652:0:5","Föderlach Bahnhof","46.6018235418575","13.958939168182",""
"at:42:3653:0:1","Villach Seebach Bahnhst","46.6210459243424","13.8733117552878",""
"at:42:3653:0:2","Villach Seebach Bahnhst","46.6211199620626","13.8733387047464",""
"at:42:3653:0:3","Villach Seebach Bahnhst","46.6205461670831","13.8751892342319",""
"at:42:3654:0:1","Villach Hbf","46.6185409218168","13.8489045290149",""
"at:42:3654:0:10","Villach Hbf 1","46.6179300785024","13.848329607233",""
"at:42:3654:0:19","Villach Hbf 32","46.617732632725","13.8482218093989",""
"at:42:3654:0:2","Villach Hbf","46.6197502478505","13.8472785783504",""
"at:42:3654:0:3","Villach Hbf","46.6189851671719","13.8488057143336",""
"at:42:3654:0:30","Villach Hbf 16","46.6178930574739","13.8490931752246",""
"at:42:3654:0:4","Villach Hbf","46.6189049564746","13.8488236806393",""
"at:42:3654:0:5","Villach Hbf","46.6187938953131","13.8488506300979",""
"at:42:3654:0:6","Villach Hbf","46.6183126276472","13.8479523148136",""
"at:42:3654:0:7","Villach Hbf","46.6187198544121","13.8488596132507",""
